split7_test_score,[0.97349558 0.97349558 0.97149525 0.95849308]
split0_train_score,[0.98575768 0.9808312  0.97797903 0.96068082]
params,"[{'n_neighbors': 3}, {'n_neighbors': 5}, {'n_neighbors': 7}, {'n_neighbors': 30}]"
param_n_neighbors,[3 5 7 30]
std_score_time,[12.05307018 11.96184631 10.75966202 14.22960425]
split6_test_score,[0.97766294 0.97549592 0.97399567 0.96432739]
split2_test_score,[0.97367105 0.97117147 0.97133811 0.95567405]
mean_test_score,[0.97341667 0.97181667 0.97043333 0.9578    ]
mean_score_time,[56.33272433 55.60308154 54.25945294 51.03776813]
std_fit_time,[0.26672656 0.11941675 0.14102292 0.07960354]
rank_test_score,[1 2 3 4]
split3_train_score,[0.98607407 0.98062963 0.97814815 0.96048148]
split5_train_score,[0.98616692 0.98100035 0.97833373 0.96113035]
split1_train_score,[0.9868326  0.98157305 0.97872104 0.9608682 ]
split4_train_score,[0.98681481 0.98157407 0.97861111 0.9615    ]
split5_test_score,[0.97516253 0.97199533 0.96866144 0.9578263 ]
split8_test_score,[0.97382024 0.97398699 0.97265299 0.95814574]
split7_train_score,[0.98648173 0.98124109 0.97785226 0.96059332]
split6_train_score,[0.9860373  0.98107442 0.97755597 0.96022296]
mean_train_score,[0.98618333 0.98113519 0.97813334 0.9606963 ]
split1_test_score,[0.97118108 0.97018158 0.96918208 0.95885391]
split4_test_score,[0.96766667 0.96583333 0.966      0.954     ]
std_train_score,[0.00037304 0.00034505 0.000375   0.00037802]
split9_test_score,[0.97231488 0.97081388 0.96864576 0.9548032 ]
split0_test_score,[0.97385947 0.97086247 0.97019647 0.95787546]
split2_train_score,[0.98585159 0.98137003 0.97831441 0.96016593]
split3_test_score,[0.97533333 0.97433333 0.97216667 0.958     ]
split8_train_score,[0.98585264 0.98061219 0.97757532 0.96066885]
mean_fit_time,[24.22539837 24.19481394 24.14083273 24.2343981 ]
split9_train_score,[0.985964   0.98144582 0.97824235 0.96065106]
std_test_score,[0.0025388  0.00261217 0.00223992 0.00268872]
