       912,         0,         2,         6,         1,         8,        14,         1,        36,         0
         0,      1061,         5,         9,         0,         2,         6,         0,        51,         1
        15,        11,       858,        24,        10,         3,        33,        11,        66,         1
         4,        11,        34,       851,         1,        21,         7,        14,        40,        27
         2,         2,         6,         0,       732,         0,        25,         1,        38,       176
        23,        11,         6,       107,        18,       590,        17,         6,        78,        36
        17,        13,        17,         1,         7,        25,       860,         0,        18,         0
         1,        21,        11,         5,        19,         0,         1,       861,        40,        69
         6,        26,        13,        54,        14,        27,         8,         9,       777,        40
         6,         7,         3,        10,        66,        10,         0,        17,        27,       863
