       969,         0,         0,         0,         0,         2,         5,         1,         3,         0
         0,      1125,         2,         2,         0,         2,         3,         0,         1,         0
         8,         0,       992,         6,         3,         0,         4,        10,         9,         0
         2,         0,        10,       971,         0,         6,         0,         9,         9,         3
         1,         0,         1,         0,       953,         0,         5,         0,         3,        19
         2,         1,         0,        14,         1,       862,         4,         2,         4,         2
         6,         3,         0,         1,         5,         5,       936,         0,         2,         0
         1,         4,        26,         2,         4,         0,         0,       980,         1,        10
         5,         0,         5,        11,         2,         6,         5,         3,       927,        10
         6,         4,         3,        11,        15,         3,         0,         5,         5,       957
