       977,         0,         0,         0,         0,         0,         1,         2,         0,         0
         0,      1130,         0,         1,         0,         0,         1,         1,         1,         1
         0,         0,      1022,         0,         1,         0,         1,         8,         0,         0
         0,         0,         0,      1008,         0,         1,         0,         0,         1,         0
         0,         0,         0,         0,       978,         0,         0,         0,         0,         4
         1,         0,         0,         7,         0,       882,         1,         1,         0,         0
         4,         2,         1,         1,         1,         2,       946,         0,         1,         0
         0,         3,         1,         0,         0,         0,         0,      1021,         1,         2
         3,         0,         0,         0,         0,         2,         1,         1,       964,         3
         0,         0,         1,         0,         7,         1,         0,         3,         0,       997
